# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=016 t= 0.800s reward=+1.056168 done=0 raw_action=[+0.143650, +0.359621, -1.000000, -1.000000, +1.000000, +0.931325, -1.000000, -0.469684, -1.000000, +1.000000, +0.525881, +0.424463, +0.557902, -0.422399, -0.021995, -0.948722, -0.526188, -0.770049, -0.611505, -0.445077, +0.781254]
frame=017 t= 0.850s reward=-0.306753 done=0 raw_action=[-0.054082, +0.029799, -1.000000, -1.000000, +1.000000, +0.833376, -1.000000, -0.341715, -0.302995, +1.000000, +0.688517, +0.551499, +0.458857, -0.067616, -0.225117, -0.621359, -0.240769, -0.231544, -0.455909, -0.051998, +0.082974]
frame=018 t= 0.900s reward=+1.001766 done=0 raw_action=[-0.631305, -0.458014, -1.000000, -0.988485, +1.000000, +0.432104, -1.000000, -0.944427, +0.535354, +1.000000, -0.382968, +0.500390, +0.054393, -0.157565, -0.848985, -1.000000, +0.392422, +0.104914, -0.708079, +0.719057, -0.541228]
frame=019 t= 0.950s reward=+1.065657 done=0 raw_action=[+0.328301, -0.626016, -1.000000, -0.453290, +1.000000, +0.176522, -0.456750, -1.000000, -0.423431, +1.000000, -0.499767, +0.688212, -0.439890, -0.372642, -0.552724, -1.000000, +0.493597, +0.564390, -0.498949, +0.939277, -0.349798]
frame=020 t= 1.000s reward=+1.067738 done=0 raw_action=[-0.231440, -0.148526, -1.000000, -0.058630, +1.000000, +0.261187, +0.827532, -1.000000, +0.076389, +0.837305, -1.000000, +0.496245, -0.527038, +0.618903, -0.635567, -1.000000, +0.895059, +1.000000, +0.780233, +1.000000, -0.184928]
frame=021 t= 1.050s reward=+1.078388 done=0 raw_action=[-0.591035, +0.821009, +0.046544, +0.929655, +0.998364, -0.279783, +1.000000, -1.000000, -0.085952, +0.932387, -1.000000, +0.763309, -0.801843, +1.000000, -0.979522, -1.000000, -0.210212, +0.468896, +1.000000, +0.451042, +0.133521]
frame=022 t= 1.100s reward=-1.487924 done=0 raw_action=[-0.468095, -0.050554, +1.000000, +0.929547, +0.708636, -0.006339, +1.000000, +0.114906, -0.465338, +0.967477, -1.000000, +0.937424, -0.293419, +1.000000, -0.100106, -0.386836, -0.621656, +0.305246, +1.000000, -0.516155, +0.103785]
frame=023 t= 1.150s reward=-1.131885 done=0 raw_action=[-0.307845, -1.000000, +1.000000, -0.388363, +0.579619, -1.000000, +1.000000, +0.613115, +0.567448, +1.000000, -1.000000, +0.970447, -0.426213, +0.722171, +0.540434, +0.519798, -0.016494, -0.431045, +1.000000, -1.000000, -0.831262]
frame=024 t= 1.200s reward=+0.202211 done=0 raw_action=[+0.161125, +0.262046, +0.847647, -0.461365, +0.560561, +0.598723, +1.000000, -0.299404, +1.000000, +1.000000, -0.239558, +0.166274, -0.456100, +1.000000, -0.234675, +0.536875, -1.000000, +0.565153, +0.922007, -0.520063, -0.004481]
frame=025 t= 1.250s reward=+1.121094 done=0 raw_action=[+0.246756, +0.759948, +1.000000, -0.158425, +0.855609, +1.000000, +1.000000, +0.200008, +0.644957, -0.374938, +1.000000, -0.427462, +0.051902, -0.172775, +0.172967, +1.000000, -0.871414, +0.262817, -0.149841, -0.062224, -0.184917]
