# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=016 t= 0.800s reward=+1.056168 done=0 jointpos=[+0.261800, -0.122674, +0.151934, -0.179693, +1.726316, +1.168143, +1.077512, +0.956699, +0.944822, +0.893187, +0.399032, +0.386728, +0.263893, +0.233457, +0.375933, +0.084389, +0.082549, +0.074009, +0.063980, +0.238292, +0.205192]
frame=017 t= 0.850s reward=-0.306753 done=0 jointpos=[+0.261777, -0.130026, +0.118027, -0.216566, +1.726783, +1.184422, +1.055118, +0.933014, +0.918909, +0.893400, +0.431819, +0.423697, +0.292270, +0.226720, +0.380097, +0.058582, +0.072994, +0.063524, +0.045683, +0.240445, +0.209423]
frame=018 t= 0.900s reward=+1.001766 done=0 jointpos=[+0.260836, -0.145838, +0.080987, -0.243332, +1.728120, +1.221592, +1.027419, +0.927652, +0.900637, +0.894021, +0.438685, +0.457690, +0.311387, +0.226720, +0.357862, +0.017352, +0.091365, +0.067755, +0.014839, +0.266518, +0.187818]
frame=019 t= 0.950s reward=+1.065657 done=0 jointpos=[+0.257291, -0.161615, +0.029934, -0.243387, +1.729298, +1.284105, +0.993627, +0.917543, +0.896048, +0.894537, +0.421228, +0.484795, +0.316948, +0.208658, +0.335679, +0.000123, +0.112300, +0.090670, +0.000000, +0.302250, +0.173415]
frame=020 t= 1.000s reward=+1.067738 done=0 jointpos=[+0.245154, -0.179988, -0.014217, -0.232889, +1.729234, +1.329440, +0.982656, +0.895485, +0.895311, +0.910108, +0.386973, +0.501505, +0.310373, +0.225590, +0.320711, +0.000123, +0.150187, +0.131868, +0.036256, +0.346805, +0.166005]
frame=021 t= 1.050s reward=+1.078388 done=0 jointpos=[+0.248853, -0.183282, -0.043676, -0.200186, +1.729740, +1.319174, +0.997347, +0.889549, +0.895311, +0.948069, +0.349539, +0.510311, +0.295132, +0.271587, +0.294718, +0.000123, +0.137429, +0.151927, +0.078864, +0.383283, +0.171125]
frame=022 t= 1.100s reward=-1.487924 done=0 jointpos=[+0.261800, -0.179155, -0.039947, -0.161748, +1.731289, +1.309349, +1.017583, +0.892901, +0.868147, +0.989332, +0.318854, +0.519974, +0.272650, +0.309127, +0.287632, +0.000445, +0.110889, +0.164925, +0.120102, +0.388466, +0.175143]
frame=023 t= 1.150s reward=-1.131885 done=0 jointpos=[+0.259447, -0.194852, -0.005918, -0.161499, +1.731078, +1.291886, +1.051126, +0.899831, +0.844020, +1.023288, +0.276256, +0.556093, +0.242775, +0.340630, +0.311802, +0.021845, +0.112784, +0.147830, +0.161803, +0.370317, +0.141836]
frame=024 t= 1.200s reward=+0.202211 done=0 jointpos=[+0.261742, -0.202416, +0.035736, -0.200403, +1.730937, +1.267879, +1.108942, +0.910090, +0.833406, +1.073588, +0.247586, +0.597407, +0.225157, +0.375708, +0.311623, +0.044186, +0.068336, +0.170224, +0.199394, +0.354760, +0.141861]
frame=025 t= 1.250s reward=+1.121094 done=0 jointpos=[+0.261800, -0.203753, +0.077468, -0.225972, +1.728697, +1.245046, +1.155472, +0.919367, +0.847716, +1.107320, +0.269985, +0.590991, +0.231765, +0.375663, +0.307269, +0.085471, +0.032769, +0.181499, +0.187439, +0.345397, +0.134196]
