# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=016 t= 0.800s reward=+1.056168 done=0 target=[+0.235620, -0.115487, +0.101559, -0.168222, +1.727910, +1.335150, +1.088579, +1.198168, +0.912068, +0.814119, +0.441729, +0.408157, +0.431551, +0.231071, +0.484262, +0.084934, +0.083921, +0.074340, +0.066511, +0.349175, +0.209646]
frame=017 t= 0.850s reward=-0.306753 done=0 target=[+0.233367, -0.114245, +0.059893, -0.209889, +1.727910, +1.335150, +1.046913, +1.183930, +0.899443, +0.855786, +0.470417, +0.431136, +0.450670, +0.228254, +0.474882, +0.059044, +0.073889, +0.064692, +0.047515, +0.347008, +0.213103]
frame=018 t= 0.900s reward=+1.001766 done=0 target=[+0.207062, -0.133329, +0.018226, -0.235620, +1.727910, +1.335150, +1.005246, +1.144578, +0.921749, +0.897452, +0.454460, +0.451985, +0.452936, +0.221688, +0.439508, +0.017377, +0.090240, +0.069064, +0.018012, +0.376969, +0.190552]
frame=019 t= 0.950s reward=+1.065657 done=0 target=[+0.220741, -0.159413, -0.023441, -0.235620, +1.727910, +1.335150, +0.986215, +1.102912, +0.904106, +0.939119, +0.433636, +0.480661, +0.434608, +0.206162, +0.416477, +0.000000, +0.110807, +0.092580, +0.000000, +0.416106, +0.175977]
frame=020 t= 1.000s reward=+1.067738 done=0 target=[+0.211098, -0.165602, -0.065107, -0.235620, +1.727910, +1.335150, +1.020695, +1.061245, +0.907289, +0.974007, +0.391970, +0.501338, +0.412648, +0.231949, +0.389995, +0.000000, +0.148101, +0.134246, +0.032510, +0.457772, +0.168272]
frame=021 t= 1.050s reward=+1.078388 done=0 target=[+0.186472, -0.131393, -0.063168, -0.196884, +1.727910, +1.323492, +1.062362, +1.019579, +0.903708, +1.012856, +0.350303, +0.533142, +0.379238, +0.273616, +0.349182, +0.000000, +0.139342, +0.153784, +0.074176, +0.476566, +0.173835]
frame=022 t= 1.100s reward=-1.487924 done=0 target=[+0.166968, -0.133499, -0.021501, -0.158153, +1.727910, +1.323228, +1.104029, +1.024366, +0.884319, +1.053168, +0.308636, +0.572202, +0.367012, +0.315283, +0.345011, +0.000000, +0.113440, +0.166502, +0.115843, +0.455059, +0.178160]
frame=023 t= 1.150s reward=-1.131885 done=0 target=[+0.154141, -0.175166, +0.020165, -0.174335, +1.727910, +1.281561, +1.145695, +1.049913, +0.907963, +1.094834, +0.266970, +0.612637, +0.349253, +0.345373, +0.367529, +0.021658, +0.112752, +0.148542, +0.157510, +0.413393, +0.143524]
frame=024 t= 1.200s reward=+0.202211 done=0 target=[+0.160854, -0.164247, +0.055484, -0.193559, +1.727910, +1.306508, +1.187362, +1.037438, +0.949629, +1.136501, +0.256988, +0.619565, +0.330249, +0.387040, +0.357751, +0.044028, +0.071086, +0.172090, +0.195927, +0.391723, +0.143337]
frame=025 t= 1.250s reward=+1.121094 done=0 target=[+0.171136, -0.132583, +0.097151, -0.200160, +1.727910, +1.335150, +1.229028, +1.045771, +0.976502, +1.120878, +0.298655, +0.601754, +0.332411, +0.379841, +0.364958, +0.085695, +0.034777, +0.183041, +0.189683, +0.389131, +0.135632]
