# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=016 t= 0.800s reward=+0.109894 done=0 raw_action=[+0.263596, -0.037233, -1.000000, -1.000000, +0.940176, +0.076011, -1.000000, +0.378855, -0.404017, +1.000000, -0.730877, +0.769232, +0.247402, -0.736784, -0.446197, -0.541297, -0.661137, -1.000000, -0.776669, -0.164548, +0.828283]
frame=017 t= 0.850s reward=+0.787262 done=0 raw_action=[+0.665441, +0.411936, -0.950123, -1.000000, +0.894631, +0.835385, -1.000000, +0.426911, -0.623266, +1.000000, +0.883094, +0.770131, +0.213910, -0.546050, -0.472599, -0.239406, -1.000000, -0.746371, -0.713969, -0.218740, +0.757335]
frame=018 t= 0.900s reward=-0.648443 done=0 raw_action=[+0.556893, +0.482134, -0.937812, -1.000000, +1.000000, +0.624682, -0.775527, -0.299726, -0.654302, +1.000000, +0.890822, +0.829567, -0.214470, -0.816184, -0.644937, -0.739320, -0.446204, +0.031074, -0.310559, +0.263649, +0.248996]
frame=019 t= 0.950s reward=+1.015854 done=0 raw_action=[+0.608980, +0.125280, -0.480513, -1.000000, +0.870678, -0.121805, +1.000000, -0.346581, -0.794010, +1.000000, +0.396034, +0.513278, -0.823517, -0.131660, -0.275016, -1.000000, +0.000233, +1.000000, +0.145553, -0.274119, -0.292616]
frame=020 t= 1.000s reward=+1.052029 done=0 raw_action=[+0.359812, +0.494219, +0.255122, -0.067201, +1.000000, +0.144815, +1.000000, -0.547965, -0.819254, +0.959885, -0.174054, +0.077352, -0.997636, +0.426567, -0.344287, -1.000000, +0.045615, +0.956286, +1.000000, +0.054577, -0.544228]
frame=021 t= 1.050s reward=+0.229032 done=0 raw_action=[+0.489628, +0.142158, +0.691424, +0.281293, +1.000000, -0.094363, +1.000000, -0.321027, -0.761532, +0.574200, -0.141249, -0.259354, -0.771340, +1.000000, -0.268939, -0.297518, -0.276834, +0.548947, +0.982256, -0.651884, -0.718422]
frame=022 t= 1.100s reward=-0.949673 done=0 raw_action=[-0.170286, +0.458820, +0.750574, +0.125502, +1.000000, +0.088191, +1.000000, +0.174412, -0.154034, +0.494594, -0.075573, -0.507054, +0.133134, +1.000000, -0.068839, +0.642436, +0.175630, +0.630947, +0.918781, -0.229176, -0.331363]
frame=023 t= 1.150s reward=+1.123830 done=0 raw_action=[-0.280734, +0.487715, -0.003939, -0.998173, +0.956558, -0.412542, +1.000000, +0.166468, +0.180623, +0.027134, -0.268510, -0.731071, -0.109830, +0.860826, +0.388101, +0.317585, +0.827418, -0.528653, +0.226404, -0.319328, -0.408679]
frame=024 t= 1.200s reward=+0.855737 done=0 raw_action=[-0.001224, +0.761633, -0.650835, -0.969415, +1.000000, +0.235670, +1.000000, -0.234117, +0.344247, -0.393685, +0.400598, -0.782186, -0.099264, +0.994544, +0.301453, +0.537623, +0.051212, +0.509931, +0.132127, +0.303866, -0.150602]
frame=025 t= 1.250s reward=+0.640642 done=0 raw_action=[+0.108427, +0.752983, -1.000000, -1.000000, +1.000000, -0.077006, +1.000000, +0.022950, +0.344647, -0.725971, +0.636824, -0.921174, -0.146622, -0.082866, +0.537988, +0.634705, -0.099821, -0.096087, -0.063248, +0.180473, +0.303125]
frame=026 t= 1.300s reward=+0.520989 done=0 raw_action=[-0.127716, +0.636868, -0.517010, -1.000000, +1.000000, -0.702632, +0.345618, +0.289190, -0.042177, -0.950395, +0.979394, -0.648164, +0.007933, -0.165876, +0.656935, +0.209239, -0.044040, -0.157088, -0.215871, -0.351286, -0.106184]
frame=027 t= 1.350s reward=+0.035602 done=0 raw_action=[+0.372229, +0.650090, -0.154196, -1.000000, +1.000000, -0.437841, -0.072268, +0.059009, +0.260000, -1.000000, +1.000000, -0.906361, -0.078746, +0.078105, +0.852856, -0.175925, +0.014153, -0.434660, -0.150910, +0.211784, +0.192904]
